Maker,Year,Registrations,YoY_pct
ABZO MOTORS PVT LTD,2025,10,-85.29
ACCPL INFRA FABTECH PVT LTD,2021,0,
ACCPL INFRA FABTECH PVT LTD,2022,0,
ACCPL INFRA FABTECH PVT LTD,2023,0,
ACCPL INFRA FABTECH PVT LTD,2024,1,inf
ACCPL INFRA FABTECH PVT LTD,2025,0,-100.0
ACCRETION POWER AUTOS,2021,208,
ACCRETION POWER AUTOS,2022,608,192.31
ACCRETION POWER AUTOS,2023,598,-1.64
ACCRETION POWER AUTOS,2024,502,-16.05
ACCRETION POWER AUTOS,2025,256,-49.0
ACTION CONSTRUCTION EQUIPMENT LTD.,2021,6898,
ACTION CONSTRUCTION EQUIPMENT LTD.,2022,7662,11.08
ACTION CONSTRUCTION EQUIPMENT LTD.,2023,8884,15.95
ACTION CONSTRUCTION EQUIPMENT LTD.,2024,10797,21.53
ACTION CONSTRUCTION EQUIPMENT LTD.,2025,7203,-33.29
ADAPT MOTORS PVT LTD,2021,2,
ADAPT MOTORS PVT LTD,2022,3,50.0
ADAPT MOTORS PVT LTD,2023,4,33.33
ADAPT MOTORS PVT LTD,2024,2,-50.0
ADAPT MOTORS PVT LTD,2025,1,-50.0
ADICO ESCORTS AGRI EQUIPMENTS PVT. LTD.,2021,2590,
ADICO ESCORTS AGRI EQUIPMENTS PVT. LTD.,2022,1737,-32.93
ADICO ESCORTS AGRI EQUIPMENTS PVT. LTD.,2023,2323,33.74
ADICO ESCORTS AGRI EQUIPMENTS PVT. LTD.,2024,2393,3.01
ADICO ESCORTS AGRI EQUIPMENTS PVT. LTD.,2025,653,-72.71
