S No,Maker,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,TOTAL
1110,SHIVSHAKTI STEEL INDUSTRIES LATUR,2,0,0,1,1,0,0,0,0,0,0,0,4
1111,SHOBHA ENG WORKS,0,0,4,1,3,0,0,0,1,3,2,0,14
1112,SHREE AMEE CONST EQUP,1,0,0,0,0,0,0,0,0,0,0,0,1
1113,SHREE BALAJI ENGINEERING WORK SHOP,4,2,1,1,3,0,4,3,1,1,1,2,23
1114,SHREE JAGDAMBA TROLLY,0,0,0,0,0,0,0,1,0,0,0,0,1
1115,SHREE MARUTI NANDAN BUSINESSS (P) LTD,32,25,21,29,32,24,37,23,15,23,19,28,308
1116,SHREE SAI AGRO ENGINEERING WORKS,5,2,9,6,1,1,3,10,5,5,5,12,64
1117,SHREYA ENGINEERS,0,0,0,0,0,0,2,1,3,2,0,1,9
1118,SHRI AVP ENGINEERING WORK,0,0,1,0,0,0,0,0,0,2,0,1,4
1119,SHRI BARSANA E-VEHICLES PVT LTD,176,222,253,219,295,299,350,428,427,457,466,497,4089
1120,SHRI DATTA AGRO INDUSTRIES,0,0,0,0,1,1,0,0,1,0,0,2,5
1121,"SHRI DATTAKRUPA ENGINEERING WORKS, BARAMATI",0,0,0,0,0,0,0,0,0,0,1,0,1
